method,split,action,feature_support,manifest_support,top1
original,test_original_c2r2,1,27,27,0.5555555555555556
original,test_original_c2r2,2,27,27,0.25925925925925924
original,test_original_c2r2,3,27,27,0.6296296296296297
original,test_original_c2r2,4,27,27,0.7037037037037037
original,test_original_c2r2,5,27,27,0.7777777777777778
original,test_original_c2r2,6,27,27,0.8518518518518519
original,test_original_c2r2,7,27,27,0.7777777777777778
original,test_original_c2r2,8,27,27,0.5925925925925926
original,test_original_c2r2,9,27,27,0.8518518518518519
original,test_original_c2r2,10,27,27,0.3333333333333333
original,test_original_c2r2,11,27,27,0.5185185185185185
original,test_original_c2r2,12,27,27,0.48148148148148145
original,test_original_c2r2,13,27,27,0.5925925925925926
original,test_original_c2r2,14,27,27,0.8888888888888888
original,test_original_c2r2,15,27,27,0.8888888888888888
original,test_original_c2r2,16,27,27,0.7777777777777778
original,test_original_c2r2,17,27,27,0.5555555555555556
original,test_original_c2r2,18,27,27,0.5555555555555556
original,test_original_c2r2,19,27,27,0.2222222222222222
original,test_original_c2r2,20,27,27,0.7037037037037037
original,test_original_c2r2,21,27,27,0.8518518518518519
original,test_original_c2r2,22,27,27,0.9629629629629629
original,test_original_c2r2,23,27,27,0.6666666666666666
original,test_original_c2r2,24,27,27,1.0
original,test_original_c2r2,25,27,27,0.6296296296296297
original,test_original_c2r2,26,27,27,1.0
original,test_original_c2r2,27,27,27,0.9259259259259259
original,test_original_c2r2,28,27,27,0.1111111111111111
original,test_original_c2r2,29,27,27,0.5925925925925926
original,test_original_c2r2,30,27,27,0.4444444444444444
original,test_original_c2r2,31,27,27,0.1111111111111111
original,test_original_c2r2,32,27,27,0.4074074074074074
original,test_original_c2r2,33,27,27,0.5185185185185185
original,test_original_c2r2,34,27,27,0.4074074074074074
original,test_original_c2r2,35,27,27,0.8888888888888888
original,test_original_c2r2,36,27,27,1.0
original,test_original_c2r2,37,27,27,0.7777777777777778
original,test_original_c2r2,38,27,27,0.8148148148148148
original,test_original_c2r2,39,27,27,0.8518518518518519
original,test_original_c2r2,40,27,27,0.8518518518518519
original,test_original_c2r2,41,27,27,0.48148148148148145
original,test_original_c2r2,42,27,27,1.0
original,test_original_c2r2,43,27,27,1.0
original,test_original_c2r2,44,27,27,0.5185185185185185
original,test_original_c2r2,45,27,27,0.5185185185185185
original,test_original_c2r2,46,27,27,0.7037037037037037
original,test_original_c2r2,47,27,27,0.5925925925925926
original,test_original_c2r2,48,27,27,0.6666666666666666
original,test_original_c2r2,49,27,27,0.7407407407407407
original,test_original_c2r2,50,27,27,0.5925925925925926
original,test_original_c2r2,51,27,27,0.9259259259259259
original,test_original_c2r2,52,27,27,0.7037037037037037
original,test_original_c2r2,53,27,27,0.7407407407407407
original,test_original_c2r2,54,27,27,0.5925925925925926
original,test_original_c2r2,55,27,27,0.9259259259259259
original,test_original_c2r2,56,27,27,0.7407407407407407
original,test_original_c2r2,57,27,27,0.7037037037037037
original,test_original_c2r2,58,27,27,0.6666666666666666
original,test_original_c2r2,59,27,27,0.7777777777777778
original,test_original_c2r2,60,27,27,0.8518518518518519
original,test_original_c2r2,61,33,33,0.48484848484848486
original,test_original_c2r2,62,33,33,0.7575757575757576
original,test_original_c2r2,63,33,33,0.7878787878787878
original,test_original_c2r2,64,33,33,0.8787878787878788
original,test_original_c2r2,65,33,33,0.7575757575757576
original,test_original_c2r2,66,33,33,0.8787878787878788
original,test_original_c2r2,67,33,33,0.12121212121212122
original,test_original_c2r2,68,33,33,0.6363636363636364
original,test_original_c2r2,69,33,33,0.06060606060606061
original,test_original_c2r2,70,33,33,0.48484848484848486
original,test_original_c2r2,71,33,33,0.18181818181818182
original,test_original_c2r2,72,33,33,0.21212121212121213
original,test_original_c2r2,73,33,33,0.2727272727272727
original,test_original_c2r2,74,33,33,0.45454545454545453
original,test_original_c2r2,75,33,33,0.45454545454545453
original,test_original_c2r2,76,33,33,0.5757575757575758
original,test_original_c2r2,77,33,33,0.2727272727272727
original,test_original_c2r2,78,33,33,0.3333333333333333
original,test_original_c2r2,79,33,33,0.5757575757575758
original,test_original_c2r2,80,33,33,0.9696969696969697
original,test_original_c2r2,81,33,33,0.6666666666666666
